id,title,text,label,category,source_type,author,publication_date,country,language,word_count,has_source,credibility_score,shares,likes,comments
1,Government announces new scholarship program for college students,"According to an update shared by relevant organizations, government announces new scholarship program for college students. The report focuses on the available information and encourages readers to verify details through reliable sources.",REAL,Technology,Official/Reported,Author_7,2026-05-08,USA,English,32,True,0.78,13444,71487,1424
2,Scientists discover a new method to improve solar panel efficiency,"According to an update shared by relevant organizations, scientists discover a new method to improve solar panel efficiency. The report focuses on the available information and encourages readers to verify details through reliable sources.",REAL,Weather,Official/Reported,Author_9,2026-01-03,USA,English,34,True,0.81,78917,3483,9195
3,Local university opens a new artificial intelligence research center,Officials and researchers have reported an update related to local university opens a new artificial intelligence research center. The information is being discussed through formal announcements and available reports. Readers are advised to check the original source for complete details.,REAL,Weather,Official/Reported,Author_57,2026-08-19,UK,English,40,True,0.94,861,20931,11438
4,New public transport route launched to connect rural areas,"A recent report discusses new public transport route launched to connect rural areas. The development has attracted public attention, while further details are expected from relevant authorities and organizations.",REAL,Business,Official/Reported,Author_72,2026-03-07,UK,English,29,True,0.77,49807,12681,5881
5,Researchers publish study on reducing plastic waste in cities,"A recent report discusses researchers publish study on reducing plastic waste in cities. The development has attracted public attention, while further details are expected from relevant authorities and organizations.",REAL,Health,Official/Reported,Author_12,2026-08-18,India,English,29,True,0.98,49625,10333,9044
6,Health department releases updated vaccination schedule,"A recent report discusses health department releases updated vaccination schedule. The development has attracted public attention, while further details are expected from relevant authorities and organizations.",REAL,Business,Official/Reported,Author_148,2026-04-23,India,English,26,True,0.76,29881,37935,1307
7,National bank introduces updated digital payment security guidelines,Officials and researchers have reported an update related to national bank introduces updated digital payment security guidelines. The information is being discussed through formal announcements and available reports. Readers are advised to check the original source for complete details.,REAL,Technology,Official/Reported,Author_98,2026-05-15,UK,English,39,True,0.79,46576,27465,10980
8,Weather department issues rainfall advisory for several regions,"A recent report discusses weather department issues rainfall advisory for several regions. The development has attracted public attention, while further details are expected from relevant authorities and organizations.",REAL,Technology,Official/Reported,Author_44,2026-04-06,Canada,English,28,True,0.84,83896,73005,3598
9,University launches internship program for engineering students,"According to an update shared by relevant organizations, university launches internship program for engineering students. The report focuses on the available information and encourages readers to verify details through reliable sources.",REAL,Business,Official/Reported,Author_15,2026-04-27,India,English,31,True,0.94,52591,35098,1084
10,Technology company releases a software update with security fixes,Officials and researchers have reported an update related to technology company releases a software update with security fixes. The information is being discussed through formal announcements and available reports. Readers are advised to check the original source for complete details.,REAL,Business,Official/Reported,Author_55,2026-08-13,Canada,English,40,True,0.78,18311,32330,12205
11,Celebrity secretly becomes president of the country overnight,"An unverified internet post claims that celebrity secretly becomes president of the country overnight. No dependable evidence is provided in the message, so the information should not be treated as confirmed without further verification.",FAKE,Health,Social Media/Unverified,Author_150,2026-07-19,Canada,English,34,False,0.18,18141,66789,8085
12,Scientists confirm that drinking one glass of water gives superpowers,A viral online claim says that scientists confirm that drinking one glass of water gives superpowers. The post provides dramatic details but does not identify a reliable official source or independent evidence. Readers should verify the claim before sharing it.,FAKE,Politics,Social Media/Unverified,Author_29,2026-03-21,USA,English,40,False,0.33,55343,78177,1040
13,Government announces free smartphones for every citizen tomorrow,Social media users are circulating a story claiming that government announces free smartphones for every citizen tomorrow. The claim appears sensational and should be checked against trustworthy news organizations and official statements.,FAKE,Weather,Social Media/Unverified,Author_120,2026-05-18,India,English,32,False,0.29,15024,70386,12302
14,New app claims it can predict every person's future with 100 percent accuracy,Social media users are circulating a story claiming that new app claims it can predict every person's future with 100 percent accuracy. The claim appears sensational and should be checked against trustworthy news organizations and official statements.,FAKE,Business,Social Media/Unverified,Author_29,2026-05-14,USA,English,37,False,0.21,94656,34527,8201
15,Internet users discover a hidden button that makes phones charge instantly,A viral online claim says that internet users discover a hidden button that makes phones charge instantly. The post provides dramatic details but does not identify a reliable official source or independent evidence. Readers should verify the claim before sharing it.,FAKE,Technology,Social Media/Unverified,Author_77,2026-04-05,UK,English,41,False,0.32,70707,69519,9
16,Researchers prove that humans can survive without sleep for one year,"An unverified internet post claims that researchers prove that humans can survive without sleep for one year. No dependable evidence is provided in the message, so the information should not be treated as confirmed without further verification.",FAKE,Business,Social Media/Unverified,Author_126,2026-01-04,UK,English,37,False,0.36,40316,31390,949
17,Company announces that its laptop can run for ten years without charging,A viral online claim says that company announces that its laptop can run for ten years without charging. The post provides dramatic details but does not identify a reliable official source or independent evidence. Readers should verify the claim before sharing it.,FAKE,Technology,Social Media/Unverified,Author_22,2026-08-27,India,English,42,False,0.39,69832,16488,2103
18,Social media post claims the moon will disappear for seven days,"An unverified internet post claims that social media post claims the moon will disappear for seven days. No dependable evidence is provided in the message, so the information should not be treated as confirmed without further verification.",FAKE,Entertainment,Social Media/Unverified,Author_141,2026-03-09,Australia,English,37,False,0.36,55471,27765,8835
19,Online message says students can receive guaranteed jobs by sharing one post,"An unverified internet post claims that online message says students can receive guaranteed jobs by sharing one post. No dependable evidence is provided in the message, so the information should not be treated as confirmed without further verification.",FAKE,Education,Social Media/Unverified,Author_80,2026-07-22,UK,English,38,False,0.2,67849,59182,1982
20,Viral post claims a common household item can completely cure every disease,A viral online claim says that viral post claims a common household item can completely cure every disease. The post provides dramatic details but does not identify a reliable official source or independent evidence. Readers should verify the claim before sharing it.,FAKE,Education,Social Media/Unverified,Author_17,2026-06-01,Australia,English,42,False,0.24,77138,28869,117
21,Government announces new scholarship program for college students,Officials and researchers have reported an update related to government announces new scholarship program for college students. The information is being discussed through formal announcements and available reports. Readers are advised to check the original source for complete details.,REAL,Politics,Official/Reported,Author_59,2026-02-02,UK,English,39,True,0.77,31205,36505,10960
22,Scientists discover a new method to improve solar panel efficiency,"A recent report discusses scientists discover a new method to improve solar panel efficiency. The development has attracted public attention, while further details are expected from relevant authorities and organizations.",REAL,Education,Official/Reported,Author_139,2026-03-24,Australia,English,30,True,0.89,31860,61998,13230
23,Local university opens a new artificial intelligence research center,"A recent report discusses local university opens a new artificial intelligence research center. The development has attracted public attention, while further details are expected from relevant authorities and organizations.",REAL,Education,Official/Reported,Author_25,2026-02-22,Canada,English,29,True,0.84,53893,61218,14153
24,New public transport route launched to connect rural areas,"According to an update shared by relevant organizations, new public transport route launched to connect rural areas. The report focuses on the available information and encourages readers to verify details through reliable sources.",REAL,Politics,Official/Reported,Author_26,2026-01-13,UK,English,33,True,0.94,14332,32596,3139
25,Researchers publish study on reducing plastic waste in cities,Officials and researchers have reported an update related to researchers publish study on reducing plastic waste in cities. The information is being discussed through formal announcements and available reports. Readers are advised to check the original source for complete details.,REAL,Entertainment,Official/Reported,Author_36,2026-07-06,UK,English,40,True,0.86,9890,58087,13238
26,Health department releases updated vaccination schedule,"According to an update shared by relevant organizations, health department releases updated vaccination schedule. The report focuses on the available information and encourages readers to verify details through reliable sources.",REAL,Technology,Official/Reported,Author_13,2026-01-03,USA,English,30,True,0.79,63663,63097,3502
